B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,GEO_ID,NAME,POPGROUP,POPGROUP_LABEL,POPGROUP,ucgid
2579,,266,,1400000US41001950100,Census Tract 9501; Baker County; Oregon,001,Total population,001,1400000US41001950100
3332,,310,,1400000US41001950200,Census Tract 9502; Baker County; Oregon,001,Total population,001,1400000US41001950200
2845,,420,,1400000US41001950300,Census Tract 9503; Baker County; Oregon,001,Total population,001,1400000US41001950300
2829,,410,,1400000US41001950400,Census Tract 9504; Baker County; Oregon,001,Total population,001,1400000US41001950400
2579,,358,,1400000US41001950500,Census Tract 9505; Baker County; Oregon,001,Total population,001,1400000US41001950500
2375,,252,,1400000US41001950600,Census Tract 9506; Baker County; Oregon,001,Total population,001,1400000US41001950600
3981,,511,,1400000US41003000101,Census Tract 1.01; Benton County; Oregon,001,Total population,001,1400000US41003000101
3121,,429,,1400000US41003000102,Census Tract 1.02; Benton County; Oregon,001,Total population,001,1400000US41003000102
5950,,621,,1400000US41003000202,Census Tract 2.02; Benton County; Oregon,001,Total population,001,1400000US41003000202
3198,,500,,1400000US41003000401,Census Tract 4.01; Benton County; Oregon,001,Total population,001,1400000US41003000401
5341,,469,,1400000US41003000402,Census Tract 4.02; Benton County; Oregon,001,Total population,001,1400000US41003000402
3308,,397,,1400000US41003000500,Census Tract 5; Benton County; Oregon,001,Total population,001,1400000US41003000500
4427,,689,,1400000US41003000600,Census Tract 6; Benton County; Oregon,001,Total population,001,1400000US41003000600
6223,,620,,1400000US41003000900,Census Tract 9; Benton County; Oregon,001,Total population,001,1400000US41003000900
4100,,436,,1400000US41003001001,Census Tract 10.01; Benton County; Oregon,001,Total population,001,1400000US41003001001
3388,,462,,1400000US41003001002,Census Tract 10.02; Benton County; Oregon,001,Total population,001,1400000US41003001002
4199,,462,,1400000US41003001101,Census Tract 11.01; Benton County; Oregon,001,Total population,001,1400000US41003001101
4255,,576,,1400000US41003001102,Census Tract 11.02; Benton County; Oregon,001,Total population,001,1400000US41003001102
4161,,492,,1400000US41003010101,Census Tract 101.01; Benton County; Oregon,001,Total population,001,1400000US41003010101
